23:25:13.802 -> 1983
23:25:13.802 -> 1993
23:25:13.802 -> 1951
23:25:13.802 -> 1998
23:25:13.802 -> 1961
23:25:13.802 -> 2006
23:25:13.802 -> 1969
23:25:13.802 -> 2019
23:25:13.802 -> 2092
23:25:13.802 -> 2115
23:25:13.802 -> 1968
23:25:13.802 -> 1984
23:25:13.802 -> 1966
23:25:13.802 -> 1954
23:25:13.802 -> 1936
23:25:13.802 -> 1959
23:25:13.802 -> 1933
23:25:13.802 -> 1969
23:25:13.802 -> 1943
23:25:13.802 -> 1961
23:25:13.802 -> 1886
23:25:13.802 -> 1968
23:25:13.802 -> 1984
23:25:13.802 -> 1966
23:25:13.802 -> 1965
23:25:13.802 -> 1936
23:25:13.802 -> 1967
23:25:13.834 -> 1942
23:25:13.834 -> 1962
23:25:13.834 -> 1927
23:25:13.834 -> 1963
23:25:13.834 -> 1936
23:25:13.834 -> 1967
23:25:13.834 -> 1954
23:25:13.834 -> 1958
23:25:13.834 -> 1937
23:25:13.834 -> 2006
23:25:13.834 -> 1995
23:25:13.834 -> 2078
23:25:13.834 -> 2139
23:25:13.834 -> 2191
23:25:13.834 -> 2301
23:25:13.834 -> 2385
23:25:13.834 -> 2389
23:25:13.834 -> 2435
23:25:13.834 -> 2409
23:25:13.834 -> 2417
23:25:13.834 -> 2384
23:25:13.834 -> 2367
23:25:13.834 -> 2338
23:25:13.834 -> 2352
23:25:13.834 -> 2286
23:25:13.834 -> 2310
23:25:13.834 -> 2286
23:25:13.834 -> 2267
23:25:13.834 -> 2219
23:25:13.834 -> 2239
23:25:13.834 -> 2192
23:25:13.834 -> 2131
23:25:13.834 -> 2065
23:25:13.834 -> 2016
23:25:13.834 -> 1935
23:25:13.834 -> 1903
23:25:13.834 -> 1825
23:25:13.834 -> 1809
23:25:13.834 -> 1746
23:25:13.834 -> 1755
23:25:13.834 -> 1711
23:25:13.834 -> 1721
23:25:13.834 -> 1675
23:25:13.834 -> 1685
23:25:13.834 -> 1652
23:25:13.834 -> 1669
23:25:13.834 -> 1645
23:25:13.834 -> 1673
23:25:13.834 -> 1664
23:25:13.834 -> 1707
23:25:13.834 -> 1658
23:25:13.834 -> 1665
23:25:13.834 -> 1670
23:25:13.834 -> 1687
23:25:13.834 -> 1664
23:25:13.834 -> 1710
23:25:13.868 -> 2098
23:25:13.868 -> 2179
23:25:13.868 -> 2283
23:25:13.868 -> 2327
23:25:13.868 -> 2389
23:25:13.868 -> 2362
23:25:13.868 -> 2391
23:25:13.868 -> 2337
23:25:13.868 -> 2356
23:25:13.868 -> 2321
23:25:13.868 -> 2326
23:25:13.868 -> 2299
23:25:13.868 -> 2288
23:25:13.868 -> 2240
23:25:13.868 -> 2229
23:25:13.868 -> 2205
23:25:13.868 -> 2160
23:25:13.868 -> 2064
23:25:13.868 -> 2014
23:25:13.868 -> 1939
23:25:13.868 -> 1917
23:25:13.868 -> 1856
23:25:13.868 -> 1840
23:25:13.868 -> 1797
23:25:13.904 -> 1908
23:25:13.904 -> 1968
23:25:13.904 -> 1986
23:25:13.904 -> 2030
23:25:13.904 -> 2125
23:25:13.904 -> 2223
23:25:13.904 -> 2273
23:25:13.904 -> 2395
23:25:13.904 -> 2416
23:25:13.904 -> 2487
23:25:15.926 -> 2226
23:25:15.926 -> 2089
23:25:15.926 -> 2073
23:25:15.926 -> 1963
23:25:15.926 -> 1975
23:25:15.926 -> 1883
23:25:15.926 -> 1907
23:25:15.926 -> 1823
23:25:15.926 -> 1863
23:25:15.926 -> 1799
23:25:15.958 -> 2031
23:25:15.958 -> 2022
23:25:15.958 -> 2064
23:25:15.958 -> 2123
23:25:15.958 -> 2257
23:25:15.958 -> 2269
23:25:15.958 -> 2402
23:25:15.958 -> 2390
23:25:15.958 -> 2429
23:25:15.958 -> 2388
23:25:15.958 -> 2427
23:25:15.958 -> 2359
23:25:15.958 -> 2387
23:25:15.958 -> 2311
23:25:15.958 -> 2352
23:25:15.958 -> 2282
23:25:15.958 -> 2303
23:25:15.958 -> 2224
23:25:15.958 -> 2288
23:25:15.958 -> 2199
23:25:15.958 -> 2222
23:25:15.958 -> 2125
3:25:15.992 -> 2023
23:25:15.992 -> 2091
23:25:15.992 -> 2238
23:25:15.992 -> 2286
23:25:15.992 -> 2381
23:25:15.992 -> 2330
23:25:15.992 -> 2416
23:25:15.992 -> 2318
23:25:15.992 -> 2389
23:25:15.992 -> 2290
23:25:15.992 -> 2336
23:25:15.992 -> 2268
23:25:15.992 -> 2304
23:25:15.992 -> 2221
23:25:15.992 -> 2230
23:25:15.992 -> 2138
23:25:15.992 -> 2130
23:25:15.992 -> 2005
23:25:15.992 -> 1892
23:25:15.992 -> 1924
23:25:15.992 -> 1837
23:25:15.992 -> 1859
23:25:15.992 -> 1788
23:25:15.992 -> 1826
23:25:15.992 -> 1757
23:25:15.992 -> 1809
23:25:15.992 -> 1744
23:25:15.992 -> 1791
23:25:15.992 -> 1726
23:25:15.992 -> 1781
23:25:16.024 -> 1721
23:25:16.024 -> 1791
23:25:16.024 -> 1776
23:25:16.024 -> 1809
23:25:16.024 -> 1745
23:25:16.024 -> 1797
23:25:16.024 -> 1744
23:25:16.024 -> 1796
23:25:16.024 -> 1749
23:25:16.024 -> 1809
23:25:16.024 -> 1760

