23:32:57.980 -> 1894
23:32:57.980 -> 1943
23:32:57.980 -> 1902
23:32:57.980 -> 1934
23:32:57.980 -> 1893
23:32:57.980 -> 1954
23:32:57.980 -> 1955
23:32:57.980 -> 2255
23:32:57.980 -> 1934
23:32:57.980 -> 1923
23:32:57.980 -> 1895
23:32:57.980 -> 1918
23:32:57.980 -> 1854
23:32:57.980 -> 1893
23:32:57.980 -> 1839
23:32:57.980 -> 1904
23:32:57.980 -> 1870
23:32:57.980 -> 1895
23:32:58.013 -> 1847
23:32:58.013 -> 1897
23:32:57.980 -> 1895
23:32:58.013 -> 1847
23:32:58.013 -> 1897
23:32:58.013 -> 1872
23:32:58.013 -> 1936
23:32:58.013 -> 1895
23:32:58.013 -> 1932
23:32:58.013 -> 1887
23:32:58.013 -> 1939
23:32:58.013 -> 1891
23:32:58.013 -> 1911
23:32:58.013 -> 1875
23:32:58.013 -> 1908
23:32:58.013 -> 1873
23:32:58.013 -> 1916
23:32:58.013 -> 1899
23:32:58.013 -> 1938
23:32:58.013 -> 1895
23:32:58.013 -> 1936
23:32:58.013 -> 1885
23:32:58.013 -> 1936
23:32:58.013 -> 1919
23:32:58.013 -> 1956
23:32:58.013 -> 1915
23:32:58.013 -> 1963
23:32:58.013 -> 1917
23:32:58.013 -> 1965
23:32:58.013 -> 1911
23:32:58.013 -> 1950
23:32:58.013 -> 1918
23:32:58.013 -> 1958
23:32:58.013 -> 1919
23:32:58.013 -> 1967
23:32:58.013 -> 1922
23:32:58.013 -> 1957
23:32:58.013 -> 1920
23:32:58.013 -> 1955
23:32:58.013 -> 1917
23:32:58.013 -> 1950
23:32:58.013 -> 1902
23:32:58.013 -> 1937
23:32:58.013 -> 1906
23:32:58.013 -> 1943
23:32:58.013 -> 1901
23:32:58.013 -> 1938
23:32:58.013 -> 1888
23:32:58.013 -> 1933
23:32:58.013 -> 1909
23:32:58.013 -> 1943
23:32:58.013 -> 1917
23:32:58.013 -> 1968
23:32:58.013 -> 1914
23:32:58.013 -> 1955
23:32:58.013 -> 1910
23:32:58.013 -> 1965
23:32:58.013 -> 1915
23:32:58.013 -> 1955
23:32:58.013 -> 1913
23:32:58.013 -> 1961
23:32:58.013 -> 1910
23:32:58.013 -> 1968
23:32:58.013 -> 1921
23:32:58.013 -> 1955
23:32:58.013 -> 1902
23:32:58.013 -> 1934
23:32:58.013 -> 1915
23:32:58.013 -> 1970
23:32:58.013 -> 1931
23:32:58.013 -> 1967
23:32:58.013 -> 1909
23:32:58.013 -> 1958
23:32:58.047 -> 1923
23:32:58.047 -> 1998
23:32:58.047 -> 1940
23:32:58.047 -> 1945
23:32:58.047 -> 1902
23:32:58.047 -> 1950
23:32:58.047 -> 1904
23:32:58.047 -> 1953
23:32:58.047 -> 1918
23:32:58.047 -> 1967
23:32:58.047 -> 1910
23:32:58.047 -> 1961
23:32:58.047 -> 1914
23:32:58.047 -> 1959
23:32:58.047 -> 1917
23:32:58.047 -> 1959
23:32:58.047 -> 1959
23:32:58.047 -> 1916
23:32:58.047 -> 1955
23:32:58.047 -> 1935
23:32:58.047 -> 2000
23:32:58.047 -> 1979
23:32:58.047 -> 2117
23:32:58.047 -> 2075
23:32:58.047 -> 2227
23:32:58.047 -> 2257
23:32:58.047 -> 2385
23:32:58.047 -> 2355
23:32:58.047 -> 2423
23:32:58.047 -> 2399
23:32:58.047 -> 2416
23:32:58.047 -> 2368
23:32:58.047 -> 2418
23:32:58.047 -> 2337
23:32:58.047 -> 2377
23:32:58.047 -> 2297
23:32:58.047 -> 2333
23:32:58.047 -> 2240
23:32:58.047 -> 2288
23:32:58.047 -> 2217
23:32:58.047 -> 2239
23:32:58.047 -> 2134
23:32:58.047 -> 2098
23:32:58.047 -> 1980
23:32:58.047 -> 1950
23:32:58.047 -> 1853
23:32:58.047 -> 1865
23:32:58.047 -> 1776
